Comp_ID,ES_ID,Study_ID,FirstAuthor,Year,Journal,Volume,Species_ID,CommonName,Genus,Species,animal,Model,Strain,Sex,Repro,FoodSched,Type,AL,CV1,Prots1,Carbs1,Fats1,Intake,CI1,Age1,N1,LT25contr,LT50contr,LT75contr,CR,CV2,c_nCR,c_CR,CI2,c_aCR,Prots2,Carbs2,Fats2,Age2,N2,Page,Prots,PD25,PD50,PD75,c_LT25_logHR,c_LT25_varlogHR,c_LT50_logHR,c_LT50_varlogHR,c_LT75_logHR,c_LT75_varlogHR,c_LT2550_logHR,c_LT2550_varlogHR,c_LT5075_logHR,c_LT5075_varlogHR,c_all_logHR,c_all_varlogHR,Notes_control,Notes_treatment
Comp0157,Exp0089,Paper076,Vasselli,2005,OBESITY,13,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Sprague-Dawley,MF,0,D,BW,1,272560.7,25,30,45,0,,70,49,472.13,542.79,640.87,0.9,128953.4,0.47,0.47,,,31.3,50,18.7,70,40,0.129120322,0.2815,13.03,28.88,48.95,-0.61,0.231,-0.521,0.112,-0.412,0.072,-0.581,0.215,-0.569,0.198,-0.586,0.071,control - EO-HF,EL-LF 18% fat in diet
Comp0158,Exp0089,Paper076,Vasselli,2005,OBESITY,13,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Sprague-Dawley,MF,0,D,BW,1,272560.7,25,30,45,0,,70,49,472.13,542.79,640.87,0.9,155749,0.57,0.57,,,25,30,45,70,41,0.129120322,0.25,12.68,27.11,47.18,-0.635,0.231,-0.578,0.113,-0.446,0.072,-0.671,0.22,-0.597,0.197,-0.633,0.072,control - EO-HF,EL-HF 45% fat in diet
Comp0211,Exp0107,Paper083,Wolf,2000,EXP EYE RES,70,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,BN,M,0,D,FW,1,232032.5,22,66.2,11.8,1,232032.5,112,50,593.28,784.49,899.96,0.6,139219.5,0.6,0.6,139219.5,0.6,22,66.2,11.8,112,50,0.158802178,0.22,13.73,20.42,43.31,-0.582,0.207,-0.84,0.114,-0.536,0.068,-1.302,0.254,-0.575,0.176,-0.775,0.069,,
Comp0212,Exp0108,Paper083,Wolf,2000,EXP EYE RES,70,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,M,0,D,FW,1,249114.6,22,66.2,11.8,1,249114.6,112,50,545.53,629.17,696.9,0.6,149468.8,0.6,0.6,149468.8,0.6,22,66.2,11.8,112,50,0.170334433,0.22,6.69,11.97,23.24,-1.156,0.252,-1.227,0.129,-1.054,0.081,-1.538,0.267,-1.416,0.239,-1.368,0.084,,
Comp0218,Exp0112,Paper086,Yanai,2004,NEUROBIOL AGING,25,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Wistar,M,0,D,FW,1,291401.3,25.4,64.1,10.5,0,,75,16,435,555,,0.35,145700.6,0.5,0.5,,,25.4,64.1,10.5,75,16,0.147058824,0.254,0,12.5,,-2,1,-1.2,0.4,-2,0.333,-0.972,0.681,,,-1.388,0.405,based on data from under Fig. 5,
Comp0221,Exp0114,Paper088,Tanaka,2002,ARCH GERONTOL GERIAT,35,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Donyru,M,0,D,FW,1,291401.3,25.4,64.1,10.5,0,,28,36,609.11,639.4,695.22,0.6,174840.8,0.6,0.6,,,25.4,64.1,10.5,28,29,0.043948455,0.254,3.3,3.3,16.58,-1.417,0.406,-1.601,0.213,-1.194,0.127,-2.039,0.445,-1.299,0.327,-1.55,0.129,confusing info on the diet,
Comp0234,Exp0122,Paper094,Snyder,1990,J GERONTOL A-BIOL,45,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Lobund-Wistar,M,0,EOD,FD,1,249772.5,30,54,16,0,,56,101,341.07,568.8,672.3,0.7,174840.8,0.7,0.7,,,30,54,16,56,88,0.141033067,0.3,4.05,25.4,30.34,-1.374,0.139,-0.638,0.055,-0.824,0.039,-0.403,0.091,-1.702,0.137,-1.049,0.039,Conventionaly housed,
Comp0235,Exp0123,Paper094,Snyder,1990,J GERONTOL A-BIOL,45,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Lobund-Wistar,M,0,EOD,FD,1,249772.5,24.8,68.6,6.6,0,,56,96,506.69,638.55,761.67,0.7,174840.8,0.7,0.7,,,24.8,68.6,6.6,56,127,0.099521939,0.248,7.94,18.87,45.68,-1.116,0.12,-0.965,0.057,-0.503,0.031,-1.07,0.112,-0.441,0.079,-0.818,0.033,Germ free,
Comp0236,Exp0124,Paper095,Shimokawa,1991,J GERONTOL A-BIOL,46,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,M,0,D,FW,1,240816,23.4,52.4,24.2,1,240816,42,111,740.76,854.28,918.53,0.6,145192,0.6,0.6,145192,0.6,23.7,51.8,24.5,42,89,0.053656293,0.2355,5.99,20.42,34.5,-1.149,0.122,-0.803,0.055,-0.711,0.036,-0.74,0.099,-1.013,0.101,-0.954,0.035,control - ALII,DR
Comp0239,Exp0127,Paper098,Shimokawa,2003,FASEB J,17,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Wistar,M,0,D,FW,1,240816,23.4,52.4,24.2,0,,42,30,752.35,858.2,948.3,0.7,169391,0.7,0.7,,,23.7,51.8,24.5,42,30,0.052873419,0.2355,14.08,19.72,48.95,-0.559,0.341,-0.869,0.191,-0.42,0.108,-1.406,0.437,-0.326,0.26,-0.674,0.11,"control - -/-AL, ass same diet as in Paper095",-/- CR
Comp0240,Exp0128,Paper099,Shimokawa,1993,J GERONTOL A-BIOL,48,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,M,0,D,FW,1,240816,23.4,52.4,24.2,0,,42,250,448.2,519.1,521.37,0.6,145192,0.6,0.6,,,23.7,51.8,24.5,42,146,0.085679315,0.2355,10.56,22.2,32.54,-0.734,0.055,-0.699,0.027,-0.715,0.018,-0.813,0.052,-1.129,0.052,-0.895,0.018,mortality of AL,mortality of DR
Comp0242,Exp0130,Paper100,Shimokawa,1993,J GERONTOL A-BIOL,48,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,M,0,D,FW,1,240816,23.4,52.4,24.2,1,240816,42,250,663,722.86,760.2,0.6,145192,0.6,0.6,145192,0.6,23.7,51.8,24.5,42,146,0.059574468,0.2355,8.09,11.97,17.96,-0.901,0.058,-1.057,0.03,-1.057,0.02,-1.374,0.06,-1.537,0.056,-1.272,0.019,control - group A,group B
Comp0266,Exp0140,Paper106,Novelli,1998,J GERONTOL A-BIOL,53,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Sprague-Dawley,M,0,D,FW,1,939390,16.5,73.4,10.1,0,,60,30,475.5,475.5,,0.5,469695,0.5,0.5,,,16.5,73.4,10.1,60,30,0.112044818,0.165,13.6,13.6,,-0.591,0.345,-1.145,0.21,-2,0.178,-2.152,0.536,,,-1.203,0.21,little info on diet,EOD
Comp0267,Exp0140,Paper106,Novelli,1998,J GERONTOL A-BIOL,53,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Sprague-Dawley,M,0,D,FW,1,939390,16.5,73.4,10.1,0,,60,30,475.5,475.5,,0.6,563673,0.6,0.6,,,16.6,73.3,10.1,60,30,0.112044818,0.1655,19.6,19.6,,-0.242,0.299,-0.874,0.192,-2,0.178,-2.072,0.534,,,-0.899,0.192,little info on diet,DR
Comp0271,Exp0143,Paper109,Muzumdar,2008,AGING CELL,7,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,WT_rat,MF,0,D,FW,1,,27.9,59.5,12.6,0,,56,67,472.04,641.8,726.76,0.6,,0.6,0.6,,,27.9,59.5,12.6,56,67,0.106052572,0.279,4.93,9.9,21.48,-1.341,0.199,-1.339,0.1,-1.109,0.062,-1.595,0.202,-1.423,0.178,-1.451,0.064,"no info on diet, strain, sex and N ",DR
Comp0304,Exp0156,Paper119,Merry,2008,MECH AGEING DEV,129,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,BN,M,0,D,BW,1,169820,22,68.9,9.1,1,169820,60,102,733.35,866.67,920,0.55,93401,0.55,0.55,93401,0.55,22,68.9,9.1,60,75,0.075628663,0.22,6.71,18,39.57,-1.06,0.134,-0.878,0.063,-0.591,0.039,-0.915,0.118,-0.64,0.097,-0.848,0.038,control - Ad Lib,DR
Comp0305,Exp0156,Paper119,Merry,2008,MECH AGEING DEV,129,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,BN,M,0,D,BW,1,169820,22,68.9,9.1,1,169820,60,102,733.35,866.67,920,0.55,93401,0.55,0.55,93401,0.55,22,68.9,9.1,180,25,0.140622253,0.22,5.3,22.97,35.69,-0.933,0.236,-0.605,0.111,-0.584,0.074,-0.491,0.185,-0.82,0.175,-0.736,0.065,control - Ad Lib,Ad Lib to DR at 6 months
Comp0306,Exp0156,Paper119,Merry,2008,MECH AGEING DEV,129,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,BN,M,0,D,BW,1,169820,22,68.9,9.1,1,169820,60,102,733.35,866.67,920,0.55,93401,0.55,0.55,93401,0.55,22,68.9,9.1,360,25,0.222610908,0.22,4.24,23,29.33,-0.993,0.238,-0.604,0.111,-0.692,0.075,-0.457,0.182,-1.084,0.186,-0.83,0.066,control - Ad Lib,Ad Lib to DR at 12 months
Comp0349,Exp0187,Paper136,Holloszy,1991,J APPL PHYSIOL,70,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Long-Evans,M,0,D,BW,1,334043.3,24.8,50.9,24.3,1,334043.3,90,45,509,713,907.1,0.75,250532.5,0.75,0.75,250532.5,0.75,24.8,50.9,24.3,90,40,0.150250417,0.248,4.58,12.33,22.89,-1.327,0.307,-1.167,0.146,-1.032,0.094,-1.264,0.28,-1.412,0.271,-1.335,0.095,"control - group B, sedentary","group C, sedentary"
Comp0350,Exp0187,Paper136,Holloszy,1991,J APPL PHYSIOL,70,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Long-Evans,M,0,D,BW,1,334043.3,24.8,50.9,24.3,1,334043.3,90,45,509,713,907.1,0.57,189291.2,0.57,0.57,189291.2,0.57,24.8,50.9,24.3,90,44,0.150250417,0.248,6.69,12.3,23.6,-1.148,0.282,-1.202,0.143,-1.037,0.091,-1.49,0.294,-1.398,0.265,-1.344,0.093,"control - group B, sedentary","group E, sedentary"
Comp0352,Exp0189,Paper138,Holloszy,1997,J APPL PHYSIOL,82,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Long-Evans,M,0,D,BW,0,255558.9,30,54,16,1,255558.9,90,65,624.3,719.2,900.8,0.57,144826.4,0.57,0.57,144826.4,0.57,30,54,16,90,65,0.12599748,0.3,7.05,10.92,26.76,-1.12,0.192,-1.283,0.101,-0.948,0.06,-1.697,0.216,-1.097,0.164,-1.279,0.063,control - group B,Group D
Comp0368,Exp0200,Paper145,Duffy,2002,J NUTR,132,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Sprague-Dawley,M,0,D,FW,1,293076,13.4,77,9.6,1,293076,49,60,613.5,706.9,,0.69,203060,0.69,0.69,203060,0.69,13.4,77,9.6,49,60,0.073962264,0.134,21.34,36,,-0.158,0.144,-0.326,0.078,-2,0.089,-0.569,0.168,,,-0.348,0.078,"control - AL AIN-93M, no data for late survival",31% DR AIN-93M
Comp0370,Exp0202,Paper147,Armeni,1998,MECH AGEING DEV,121,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Wistar,F,0,EOD,FD,1,,27.8,54.2,18,0,,105,15,538.5,603.6,726.5,0.7,,0.7,0.7,,,27.8,54.2,18,105,15,0.163170163,0.278,3.52,9.1,29.22,-1.506,0.935,-1.384,0.451,-0.879,0.256,-1.545,0.886,-0.87,0.645,-1.255,0.267,too little info on diet,DR - fed every other day
Comp0371,Exp0203,Paper148,Armeni,2003,J BIOENERG BIOMEMBR,35,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Wistar,F,0,EOD,FD,1,,27.8,54.2,18,0,,105,10,549.6,625,725.8,0.7,,0.7,0.7,,,27.8,54.2,18,105,10,0.1604033,0.278,4.22,12.3,28.88,-1.422,1.369,-1.21,0.642,-0.888,0.385,-1.285,1.227,-1.03,1.04,-1.227,0.399,too little info on diet,DR - fed every other day
Comp0374,Exp0205,Paper150,Black,2003,AM J PHYSIOL-REG I,284,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,M,0,D,FW,1,232545,20.8,57.7,21.5,1,232545,42,82,690,738,787,0.6,139855,0.6,0.6,139855,0.6,21.1,57.1,21.8,42,38,0.057377049,0.2095,7,8,15.85,-0.933,0.2,-1.144,0.105,-1.051,0.068,-1.496,0.207,-1.341,0.171,-1.258,0.064,rats with terminal weight loss,
Comp0375,Exp0206,Paper150,Black,2003,AM J PHYSIOL-REG I,284,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,M,0,D,FW,1,232545,20.8,57.7,21.5,1,232545,42,18,426,580,628,0.6,139855,0.6,0.6,139855,0.6,21.1,57.1,21.8,42,22,0.08974359,0.2095,10.2,13.7,19,-0.878,0.599,-1.209,0.336,-1.267,0.229,-1.858,0.787,-2.166,0.809,-1.557,0.239,rats without terminal weight loss,
