Comp_ID,ES_ID,Study_ID,FirstAuthor,Year,Journal,Volume,Species_ID,CommonName,Genus,Species,animal,Model,Strain,Sex,Repro,FoodSched,Type,AL,CV1,Prots1,Carbs1,Fats1,Intake,CI1,Age1,N1,LT25contr,LT50contr,LT75contr,CR,CV2,c_nCR,c_CR,CI2,c_aCR,Prots2,Carbs2,Fats2,Age2,N2,Page,Prots,PD25,PD50,PD75,c_LT25_logHR,c_LT25_varlogHR,c_LT50_logHR,c_LT50_varlogHR,c_LT75_logHR,c_LT75_varlogHR,c_LT2550_logHR,c_LT2550_varlogHR,c_LT5075_logHR,c_LT5075_varlogHR,c_all_logHR,c_all_varlogHR,Notes_control,Notes_treatment
Comp0341,Exp0179,Paper132,Koizumi,1996,MECH AGEING DEV,92,Spp002,Mouse,Mus,musculus,Mus_musculus,1,C57BL/6,F,0,D,CNM,0,56714,26.6,65.6,7.8,1,56714,28,41,651.03,756.54,855.3,0.58,25142,0.44,0.44,25142,0.44,49,37.2,13.8,28,34,0.041235292,0.378,0,4.93,19.36,-1.829,0.394,-1.524,0.182,-1.118,0.108,-1.542,0.336,-1.214,0.278,-1.492,0.11,control - Ct/B6,ER/B6
Comp0342,Exp0180,Paper132,Koizumi,1996,MECH AGEING DEV,92,Spp002,Mouse,Mus,musculus,Mus_musculus,1,MRL/1,M,0,D,CNM,0,56714,26.6,65.6,7.8,1,56714,28,25,163.33,196.3,247.45,0.57,25142,0.44,0.44,25142,0.44,49,37.2,13.8,28,25,0.146344013,0.378,16.55,20.4,44.37,-0.407,0.385,-0.841,0.227,-0.513,0.134,-1.577,0.556,-0.526,0.345,-0.743,0.137,control - Ct/MRL,ER/MRL
Comp0343,Exp0181,Paper133,Koizumi,1992,J NUTR,122,Spp002,Mouse,Mus,musculus,Mus_musculus,1,C57BL/6,M,0,D,CNM,0,56714,26.6,65.6,7.8,1,56714,28,38,520.52,652,734.94,0.51,28714,0.51,0.51,28714,0.51,49,37.2,13.8,28,32,0.051046452,0.378,16.2,16.55,16.55,-0.42,0.274,-0.964,0.166,-1.211,0.119,-1.894,0.417,-2.405,0.433,-1.392,0.12,control - Ct,ER
Comp0344,Exp0182,Paper133,Koizumi,1992,J NUTR,122,Spp002,Mouse,Mus,musculus,Mus_musculus,1,SHN/C3H,F,0,D,CNM,0,56714,26.6,65.6,7.8,1,56714,21,32,420.4,511.93,623.48,0.51,28714,0.51,0.51,28714,0.51,49,37.2,13.8,21,33,0.047575895,0.378,6,9,9,-1.237,0.401,-1.405,0.211,-1.591,0.148,-1.845,0.452,-2.877,0.551,-1.9,0.153,control - Ct,ER
Comp0345,Exp0183,Paper134,Jolly,2001,J NUTR,131,Spp002,Mouse,Mus,musculus,Mus_musculus,1,NZB/WF1,F,0,D,FW,1,64782,23.2,64,12.8,1,65805,28,30,215.15,228.48,263.51,0.6,39040,0.6,0.59,39040,0.59,23.2,64,12.8,28,30,0.115155254,0.232,0,0,0,-2,0.533,-2,0.267,-2,0.178,,,,,-2,0.533,"control - CO/AL 5%, Corn oil, autoimmune strain",CO/FR 5%
Comp0346,Exp0184,Paper134,Jolly,2001,J NUTR,131,Spp002,Mouse,Mus,musculus,Mus_musculus,1,NZB/WF1,F,0,D,FW,1,65399.5,32.8,7.7,23.3,1,65399.5,28,30,251.84,330.22,363.6,0.6,39411.8,0.6,0.6,39411.8,0.6,32.8,7.7,23.3,28,30,0.100057176,0.328,0,0,0,-2,0.533,-2,0.267,-2,0.178,,,,,-2,0.533,"control - CO/AL 5%, Fish oil, autoimmune strain",FO/FR 5%
Comp0347,Exp0185,Paper135,Ikeno,2005,J GERONTOL A-BIOL,60,Spp002,Mouse,Mus,musculus,Mus_musculus,1,C57BL/6,M,0,D,FW,1,65565.3,30,54,16,1,65565.3,42,28,738.34,847.43,923,0.6,39339.2,0.6,0.6,39339.2,0.6,30,54,16,42,28,0.053822693,0.3,7.75,14.79,35.91,-1.053,0.436,-1.087,0.22,-0.705,0.129,-1.342,0.451,-0.739,0.332,-1.013,0.133,control - AL (1/cage),CR (1/cage)
Comp0348,Exp0186,Paper135,Ikeno,2005,J GERONTOL A-BIOL,60,Spp002,Mouse,Mus,musculus,Mus_musculus,1,C57BL/6,M,0,D,FW,1,50995.2,30,54,16,1,50995.2,42,30,757.93,883.82,936.94,0.6,30597.1,0.6,0.6,30597.1,0.6,30,54,16,42,32,0.052504594,0.3,10.21,33.81,40.49,-0.852,0.372,-0.389,0.155,-0.603,0.113,-0.24,0.27,-1.498,0.428,-0.765,0.114,control - AL (4/cage),CR (4/cage)
Comp0353,Exp0190,Paper139,Harper,2006,AGING CELL,5,Spp002,Mouse,Mus,musculus,Mus_musculus,1,Idaho(wild),M,0,D,CNM,1,57534.7,22.5,62.1,15.4,1,57534.7,120,39,520.68,814,919.5,0.6,33775.9,0.59,0.59,33775.9,0.59,39.2,48.6,12.2,120,35,0.187300993,0.3085,33.1,63.73,77.11,0.281,0.188,0.243,0.096,0.028,0.071,0.32,0.198,-0.292,0.29,0.152,0.072,control - AL,DR
Comp0358,Exp0193,Paper142,Garcia,2008,MECH AGEING DEV,129,Spp002,Mouse,Mus,musculus,Mus_musculus,1,C57BL/6,M,0,D,FW,1,50995.2,30,54,16,1,50995.2,60,28,729.5,916.8,1017.6,0.6,30597.1,0.6,0.6,30597.1,0.6,30,54,16,60,28,0.075997467,0.3,14.3,25,45.56,-0.545,0.364,-0.667,0.19,-0.488,0.118,-0.938,0.402,-0.62,0.327,-0.69,0.12,control - WT AL,WT CR
Comp0369,Exp0201,Paper146,Dhahbi,2004,P NATL ACAD SCI USA,101,Spp002,Mouse,Mus,musculus,Mus_musculus,1,B6C3F1,M,0,D,FW,0,55265.8,13.4,77,9.6,1,55265.8,570,60,218.12,347.32,468.44,0.6,31233.5,0.57,0.57,31233.5,0.57,13.4,77,9.6,570,60,0.723240116,0.134,10.92,18.3,46.48,-0.784,0.186,-0.928,0.098,-0.47,0.055,-1.269,0.207,-0.384,0.133,-0.746,0.056,,
Comp0398,Exp0215,Paper154,Cai,2008,AM J PATHOL,173,Spp002,Mouse,Mus,musculus,Mus_musculus,1,C57BL/6,M,0,D,FW,0,71175.6,22,66.2,11.8,1,71175.6,120,22,430,571.93,655.73,0.6,42705.4,0.6,0.6,42705.4,0.6,22,66.2,11.8,120,22,0.218181818,0.22,9.86,19.01,41.55,-0.869,0.522,-0.898,0.263,-0.574,0.156,-1.121,0.537,-0.611,0.405,-0.842,0.16,control - Reg,CR
Comp0409,Exp0226,Paper157,Blackwell,1995,TOXICOL PATHOL,23,Spp002,Mouse,Mus,musculus,Mus_musculus,1,C57BL/6,M,0,D,FW,1,71175.6,22,66.2,11.8,1,71175.6,112,50,648.33,728.13,773,0.6,42705.4,0.6,0.6,42705.4,0.6,22,66.2,11.8,112,55,0.14730446,0.22,12.68,13.8,30.98,-0.664,0.206,-1.166,0.123,-0.847,0.074,-2.09,0.31,-0.992,0.202,-1.142,0.077,not sure if full consumption,
Comp0410,Exp0227,Paper157,Blackwell,1995,TOXICOL PATHOL,23,Spp002,Mouse,Mus,musculus,Mus_musculus,1,C57BL/6,F,0,D,FW,1,71175.6,22,66.2,11.8,1,71175.6,112,50,610.93,693.21,790.47,0.6,42705.4,0.6,0.6,42705.4,0.6,22,66.2,11.8,112,26,0.154925096,0.22,16.55,17.26,28.53,-0.382,0.264,-0.844,0.151,-0.786,0.099,-1.516,0.34,-1.097,0.261,-0.958,0.095,not sure if full consumption,
Comp0411,Exp0228,Paper158,Sheldon,1995,TOXICOL PATHOL,23,Spp002,Mouse,Mus,musculus,Mus_musculus,1,B6C3F1,M,0,D,FW,1,71175.6,22,66.2,11.8,1,71175.6,112,56,734.53,852.18,955.59,0.6,42705.4,0.6,0.6,42705.4,0.6,66.2,66.2,11.8,112,56,0.132304821,0.441,7.4,16.4,26.41,-1.086,0.22,-1.012,0.108,-0.958,0.07,-1.164,0.212,-1.451,0.218,-1.234,0.072,not sure if full consumption,
Comp0412,Exp0229,Paper158,Sheldon,1995,TOXICOL PATHOL,23,Spp002,Mouse,Mus,musculus,Mus_musculus,1,B6C3F1,F,0,D,FW,1,71175.6,22,66.2,11.8,1,71175.6,112,56,698.85,798.71,887.86,0.6,42705.4,0.6,0.6,42705.4,0.6,22,66.2,11.8,112,56,0.138126657,0.22,5.99,9.86,15.14,-1.227,0.23,-1.341,0.119,-1.328,0.079,-1.71,0.251,-2.043,0.257,-1.645,0.082,not sure if full consumption,
Comp0002,Exp0001,Paper001,Cooper,2004,FASEB J,18,Spp003,Housefly,Musca,domestica,Musca_domestica,0,WT_housefly,M,0,D,FW,1,51.97,11.3,83.8,4.9,0,,4,200,20.49,24,30.32,0.9,46.78,0.9,0.9,,,11.3,83.8,4.9,4,200,0.163331972,0.113,19.44,40.2,81.27,-0.25,0.045,-0.217,0.022,0.08,0.013,-0.257,0.044,0.31,0.031,-0.016,0.013,"diet (v) - mixture of sucrose, egg and milk, assumed consumption/food provisioning 0.003 g/day (based on controls)",
Comp0003,Exp0001,Paper001,Cooper,2004,FASEB J,18,Spp003,Housefly,Musca,domestica,Musca_domestica,0,WT_housefly,M,0,D,FW,1,51.97,11.3,83.8,4.9,0,,4,200,20.49,24,30.32,0.8,41.58,0.8,0.8,,,11.3,83.8,4.9,4,200,0.163331972,0.113,23.67,54.8,90.11,-0.055,0.041,0.092,0.019,0.183,0.012,0.201,0.036,0.444,0.033,0.214,0.012,"diet (v) - mixture of sucrose, egg and milk, assumed consumption/food provisioning 0.003 g/day (based on controls)",
Comp0004,Exp0001,Paper001,Cooper,2004,FASEB J,18,Spp003,Housefly,Musca,domestica,Musca_domestica,0,WT_housefly,M,0,D,FW,1,51.97,11.3,83.8,4.9,0,,4,200,20.49,24,30.32,0.7,36.38,0.7,0.7,,,11.3,83.8,4.9,4,200,0.163331972,0.113,23.67,60.9,88.17,-0.055,0.041,0.197,0.018,0.161,0.012,0.376,0.032,0.337,0.039,0.234,0.012,"diet (v) - mixture of sucrose, egg and milk, assumed consumption/food provisioning 0.003 g/day (based on controls)",
Comp0005,Exp0001,Paper001,Cooper,2004,FASEB J,18,Spp003,Housefly,Musca,domestica,Musca_domestica,0,WT_housefly,M,0,D,FW,1,51.97,11.3,83.8,4.9,0,,4,200,20.49,24,30.32,0.6,31.18,0.6,0.6,,,11.3,83.8,4.9,4,200,0.163331972,0.113,62.37,69.1,79.68,0.855,0.023,0.321,0.017,0.061,0.013,-0.548,0.071,-0.358,0.06,0.316,0.013,"diet (v) - mixture of sucrose, egg and milk, assumed consumption/food provisioning 0.003 g/day (based on controls)",
Comp0006,Exp0001,Paper001,Cooper,2004,FASEB J,18,Spp003,Housefly,Musca,domestica,Musca_domestica,0,WT_housefly,M,0,D,FW,1,51.97,11.3,83.8,4.9,0,,4,200,20.49,24,30.32,0.5,25.99,0.5,0.5,,,11.3,83.8,4.9,4,200,0.163331972,0.113,95.23,99.2,100,1.168,0.017,0.66,0.013,0.286,0.011,1.374,0.307,0.984,1.25,1.176,0.016,"diet (v) - mixture of sucrose, egg and milk, assumed consumption/food provisioning 0.003 g/day (based on controls)",
Comp0008,Exp0002,Paper001,Cooper,2004,FASEB J,18,Spp003,Housefly,Musca,domestica,Musca_domestica,0,WT_housefly,M,0,D,FC,1,52.75,0,100,0,1,52.75,4,200,29.12,33.5,38.88,0.9,47.48,0.9,0.9,47.48,0.9,0,100,0,4,200,0.120772947,0,66.78,88.6,98.06,0.91,0.022,0.557,0.014,0.266,0.012,0.748,0.05,0.588,0.096,0.824,0.013,"diet (i) - sucrose only, consumption 0.003g/indiv/day",
Comp0009,Exp0002,Paper001,Cooper,2004,FASEB J,18,Spp003,Housefly,Musca,domestica,Musca_domestica,0,WT_housefly,M,0,D,FC,1,52.75,0,100,0,1,52.75,4,200,29.12,33.5,38.88,0.8,42.2,0.8,0.8,42.2,0.8,0,100,0,4,200,0.120772947,0,64.2,81.7,95.59,0.879,0.022,0.481,0.015,0.241,0.012,0.405,0.054,0.455,0.066,0.684,0.013,"diet (i) - sucrose only, consumption 0.003g/indiv/day",
Comp0010,Exp0002,Paper001,Cooper,2004,FASEB J,18,Spp003,Housefly,Musca,domestica,Musca_domestica,0,WT_housefly,M,0,D,FC,1,52.75,0,100,0,1,52.75,4,200,29.12,33.5,38.88,0.7,36.9,0.7,0.7,36.9,0.7,0,100,0,4,200,0.120772947,0,66.78,87.1,95.59,0.91,0.022,0.541,0.015,0.241,0.012,0.665,0.052,0.297,0.092,0.76,0.013,"diet (i) - sucrose only, consumption 0.003g/indiv/day",
Comp0011,Exp0002,Paper001,Cooper,2004,FASEB J,18,Spp003,Housefly,Musca,domestica,Musca_domestica,0,WT_housefly,M,0,D,FC,1,52.75,0,100,0,1,52.75,4,200,29.12,33.5,38.88,0.6,31.65,0.6,0.6,31.65,0.6,0,100,0,4,200,0.120772947,0,65.26,72.7,81.48,0.892,0.022,0.37,0.016,0.083,0.013,-0.403,0.071,-0.408,0.065,0.379,0.013,"diet (i) - sucrose only, consumption 0.003g/indiv/day",
Comp0012,Exp0002,Paper001,Cooper,2004,FASEB J,18,Spp003,Housefly,Musca,domestica,Musca_domestica,0,WT_housefly,M,0,D,FC,1,52.75,0,100,0,1,52.75,4,200,29.12,33.5,38.88,0.5,26.38,0.5,0.5,26.38,0.5,0,100,0,4,200,0.120772947,0,95.94,97,98.77,1.173,0.017,0.639,0.014,0.274,0.012,-0.219,0.394,0.178,0.35,1.076,0.015,"diet (i) - sucrose only, consumption 0.003g/indiv/day",
Comp0474,Exp0254,Paper001,Cooper,2004,FASEB J,18,Spp003,Housefly,Musca,domestica,Musca_domestica,0,WT_housefly,M,0,D,CNM,1,52.75,0,100,0,0,,4,200,27.7,33.55,37.47,0.99,51.97,0.99,0.99,,,11.3,83.8,4.9,4,200,0.126182965,0.0565,53.2,80.5,91.85,0.721,0.026,0.467,0.015,0.202,0.012,0.582,0.04,0.157,0.068,0.572,0.013,sucrose only diet in control group. Assumed equal intakes (0.003g/indiv/day measured for sucrose only diet) for all treatments.,
Comp0475,Exp0254,Paper001,Cooper,2004,FASEB J,18,Spp003,Housefly,Musca,domestica,Musca_domestica,0,WT_housefly,M,0,D,CNM,1,52.75,0,100,0,0,,4,200,27.7,33.55,37.47,0.94,49.38,0.94,0.94,,,12.7,83,4.3,4,200,0.126182965,0.0635,91.5,99.3,99.65,1.142,0.017,0.66,0.013,0.282,0.011,1.488,0.167,0,1.449,1.161,0.015,sucrose only diet in control group. Assumed equal intakes (0.003g/indiv/day measured for sucrose only diet) for all treatments.,
Comp0021,Exp0005,Paper009,Anderson,2003,NATURE,423,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,WT_yeast,N,1,D,FC,1,0.818,53.8,46.2,0,0,,0.01,40,0.57,1.02,1.47,0.25,0.57,0.69,0.69,,,77.4,22.6,0,0.01,40,0.017241379,0.656,19.16,21.79,38.66,-0.264,0.226,-0.786,0.139,-0.639,0.088,-1.697,0.362,-0.871,0.251,-0.835,0.09,"control - 2% glucose in YPD, ass. generation time 90min",0.5% glucose
Comp0082,Exp0036,Paper056,Jiang,2002,EXP GERONTOL,37,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,YPK9,N,1,D,CNM,0,0.818,53.8,46.2,0,0,,0.01,38,0.5,0.706,0.89,0.05,0.5,0.61,0.61,,,87.7,12.3,0,0.01,38,0.019607843,0.7075,7.42,9.18,20.14,-1.085,0.325,-1.38,0.178,-1.153,0.111,-1.968,0.398,-1.485,0.32,-1.483,0.115,control - 2% glucose,0.1% glucose
Comp0083,Exp0037,Paper056,Jiang,2002,EXP GERONTOL,37,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,YPK9,N,1,D,CNM,0,0.818,53.8,46.2,0,0,,0.01,38,0.63,0.81,0.91,0.05,0.5,0.61,0.61,,,87.7,12.3,0,0.01,38,0.015625,0.7075,5.63,9.86,11.27,-1.265,0.344,-1.341,0.176,-1.477,0.122,-1.672,0.365,-2.57,0.434,-1.783,0.126,control - 2% glucose,0.1% glucose
Comp0084,Exp0038,Paper056,Jiang,2002,EXP GERONTOL,37,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,YPK9,N,1,D,CNM,0,0.818,53.8,46.2,0,0,,0.01,38,0.56,0.69,0.89,0.05,0.5,0.61,0.61,,,87.7,12.3,0,0.01,38,0.01754386,0.7075,6.71,15.91,47,-1.154,0.332,-1.034,0.16,-0.459,0.086,-1.155,0.311,-0.311,0.201,-0.779,0.089,control - 2% glucose,0.1% glucose
Comp0085,Exp0039,Paper057,Jiang,2000,FASEB J,14,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,YPK9,N,1,D,CNM,0,0.818,53.8,46.2,0,0,,0.01,35,0.59,0.8,0.92,0.05,0.5,0.61,0.61,,,87.7,12.3,0,0.01,35,0.016666667,0.7075,2.83,7.45,13.48,-1.593,0.411,-1.481,0.199,-1.391,0.129,-1.661,0.392,-1.998,0.404,-1.751,0.134,control - 2% glucose,0.1% glucose
Comp0086,Exp0040,Paper057,Jiang,2000,FASEB J,14,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,YPK9,N,1,D,CNM,0,0.818,53.8,46.2,0,0,,0.01,35,0.5,0.62,0.73,0.05,0.5,0.61,0.61,,,87.7,12.3,0,0.01,35,0.019607843,0.7075,0,0,8.83,-2,0.457,-2,0.229,-1.579,0.136,,,-1.825,0.38,-1.905,0.208,control - 2% glucose,0.1% glucose
Comp0107,Exp0051,Paper063,Lin,2000,SCIENCE,289,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,PSY316,N,1,D,CNM,0,0.818,53.8,46.2,0,0,,0.01,45,0.922,1.186,1.416,0.25,0.57,0.69,0.69,,,77.4,22.6,0,0.01,45,0.010729614,0.656,22.54,39.09,57.39,-0.103,0.187,-0.245,0.1,-0.266,0.067,-0.439,0.214,-0.511,0.207,-0.342,0.067,"control - WT, 2% Glu","WT, 0.5% Glu"
Comp0108,Exp0052,Paper064,Lin,2002,NATURE,418,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,PSY316,N,1,D,CNM,0,0.818,53.8,46.2,0,0,,0.01,45,0.9,1.2,1.58,0.25,0.57,0.69,0.69,,,77.4,22.6,0,0.01,45,0.010989011,0.656,16.55,33.1,49.65,-0.407,0.214,-0.407,0.107,-0.407,0.071,-0.515,0.215,-0.711,0.218,-0.543,0.072,"control - WT, 2% Glu","WT, 0.5% Glu"
Comp0269,Exp0142,Paper108,Murakami,2008,J GERONTOL A-BIOL,63,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,BY4742,N,1,D,FC,0,33243,0,100,0,0,,0.01,5,3.18,5.12,9.17,0.25,8311,0.25,0.25,,,0,100,0,0.01,5,0.003134796,0,9.86,25.44,50.7,-0.869,2.295,-0.651,1.06,-0.387,0.636,-0.653,1.988,-0.4,1.656,-0.615,0.648,control - 2% glucose,0.5% glucose
Comp0270,Exp0142,Paper108,Murakami,2008,J GERONTOL A-BIOL,63,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,BY4742,N,1,D,FC,0,33243,0,100,0,0,,0.01,5,3.18,5.12,9.17,0,831.1,0.03,0.03,,,0,100,0,0.01,5,0.003134796,0,0,0.5,7.4,-2,3.2,-1.96,1.584,-1.641,0.971,-2.253,3.203,-2.018,2.817,-2.087,1.021,control - 2% glucose,0.05% glucose
Comp0307,Exp0157,Paper120,Medvedik,2007,PLOS BIOL,5,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,WT_yeast,N,1,D,CNM,0,0.77,57.2,42.8,0,0,,0.01,36,1.07,1.35,1.71,0.25,0.56,0.72,0.72,,,79.1,20.9,0,0.01,36,0.009259259,0.6815,5.63,18.3,48.59,-1.265,0.363,-0.928,0.163,-0.427,0.09,-0.895,0.299,-0.308,0.213,-0.734,0.093,control - wt,wt CR
Comp0320,Exp0164,Paper125,Lin,2004,GENE DEV,18,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,PSY316,N,1,D,CNM,0,0.818,53.8,46.2,0,0,,0.01,45,0.64,0.95,1.32,0.25,0.57,0.69,0.69,,,77.4,22.6,0,0.01,45,0.015384615,0.656,10.21,35.56,51.05,-0.84,0.252,-0.338,0.104,-0.38,0.071,-0.167,0.178,-0.734,0.223,-0.537,0.071,control - +vector 2% Glu,+vector 0.5% Glu
Comp0466,Exp0256,Paper178,Goldberg,2009,EXP GERONTOL,44,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,BY4742,N,0,D,CNM,0,0.00027256,53.8,46.2,0,0,,7,26,10.15,11.34,12.28,0.5,0,0.8,0.8,,,67.6,32.4,0,7,26,0.408163265,0.607,7.77,24.03,53,-1.052,0.469,-0.702,0.208,-0.344,0.12,-0.636,0.377,-0.277,0.298,-0.597,0.123,control - 2% glucose in medium,
Comp0467,Exp0256,Paper178,Goldberg,2009,EXP GERONTOL,44,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,BY4742,N,0,D,CNM,0,0.00027256,53.8,46.2,0,0,,7,26,10.15,11.34,12.28,0.25,0,0.7,0.7,,,77.4,22.6,0,7,26,0.408163265,0.656,1.94,1.24,3.36,-1.712,0.571,-1.903,0.3,-1.828,0.196,-2.425,0.645,-2.625,0.636,-2.233,0.205,control - 2% glucose in medium,
Comp0468,Exp0256,Paper178,Goldberg,2009,EXP GERONTOL,44,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,BY4742,N,0,D,CNM,0,0.00027256,53.8,46.2,0,0,,7,26,10.15,11.34,12.28,0.1,0,0.63,0.63,,,84.9,15.1,0,7,26,0.408163265,0.6935,2.3,3.89,23.5,-1.663,0.564,-1.711,0.285,-1.046,0.156,-2.059,0.589,-0.969,0.383,-1.476,0.164,control - 2% glucose in medium,
Comp0469,Exp0257,Paper178,Goldberg,2009,EXP GERONTOL,44,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,BY4742,N,0,D,CNM,0,0.000189453,77.4,22.6,0,0,,7,26,20.43,23.37,30.62,0.4,0,0.91,0.91,,,84.9,15.1,0,7,26,0.255195042,0.8115,56.89,65.02,89.4,0.779,0.188,0.261,0.134,0.175,0.094,-0.516,0.501,0.339,0.322,0.4,0.096,control - 0.5% glucose in medium,
Comp0470,Exp0257,Paper178,Goldberg,2009,EXP GERONTOL,44,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,BY4742,N,0,D,CNM,0,0.000189453,77.4,22.6,0,0,,7,26,20.43,23.37,30.62,0.2,0,0.88,0.88,,,87.7,12.3,0,7,26,0.255195042,0.8255,58.48,71.91,91.35,0.802,0.184,0.359,0.126,0.197,0.092,-0.03,0.436,0.337,0.376,0.499,0.096,control - 0.5% glucose in medium,
Comp0471,Exp0257,Paper178,Goldberg,2009,EXP GERONTOL,44,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,BY4742,N,0,D,CNM,0,0.000189453,77.4,22.6,0,0,,7,26,20.43,23.37,30.62,0.1,0,0.87,0.87,,,89.2,10.8,0,7,26,0.255195042,0.833,68.55,80.04,92.93,0.931,0.164,0.462,0.118,0.214,0.092,0.093,0.506,0.269,0.498,0.635,0.099,control - 0.5% glucose in medium,
Comp0472,Exp0257,Paper178,Goldberg,2009,EXP GERONTOL,44,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,BY4742,N,0,D,CNM,0,0.000189453,77.4,22.6,0,0,,7,26,20.43,23.37,30.62,0.04,0,0.86,0.86,,,90.1,9.9,0,7,26,0.255195042,0.8375,69.08,77.74,90.99,0.937,0.164,0.434,0.12,0.193,0.093,-0.168,0.553,0.18,0.472,0.578,0.1,control - 0.5% glucose in medium,
Comp0621,Exp0311,Paper125,Lin,2004,GENE DEV,18,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,PSY316,N,1,D,CNM,0,0.818,53.8,46.2,0,0,,0.01,45,0.69,1.13,1.4,0.25,0.57,0.69,0.69,,,77.4,22.6,0,0.01,45,0.014285714,0.656,6.69,28.53,50.35,-1.156,0.28,-0.547,0.113,-0.393,0.071,-0.357,0.192,-0.505,0.196,-0.617,0.072,control - +vector 2% Glu,+vector 0.5% Glu
Comp0633,Exp0318,Paper191,Medvedik,2007,PLOS BIOL,5,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,BY4742,N,1,D,CNM,0,0.77,57.2,42.8,0,0,,0.01,36,1.06,1.24,1.51,,0.56,0.72,0.72,,,79.1,20.9,0,0.01,36,0.009345794,0.6815,6.69,18.31,36.97,-1.156,0.351,-0.928,0.163,-0.679,0.099,-0.96,0.307,-0.819,0.27,-0.964,0.102,control - 2% glucose,0.5% glucose
Comp0634,Exp0319,Paper191,Kaeberlein,2005,PLOS GENET,1,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,PSY316AUT,N,1,D,CNM,0,0.77,57.2,42.8,0,0,,0.01,36,0.89,1.17,1.6,,0.56,0.72,0.72,,,79.1,20.9,0,0.01,36,0.011111111,0.6815,7.75,13.38,40.14,-1.053,0.339,-1.156,0.175,-0.606,0.097,-1.487,0.367,-0.504,0.231,-0.934,0.1,control - 2% glucose,0.5% glucose
Comp0635,Exp0320,Paper192,Lamming,2005,SCIENCE,309,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,W303AR5,N,1,D,CNM,0,0.818,53.8,46.2,0,0,,0.01,45,1.19,1.48,1.83,,0.57,0.69,0.69,,,77.4,22.6,0,0.01,45,0.008333333,0.656,8.8,27.11,61.97,-0.959,0.263,-0.594,0.115,-0.19,0.065,-0.509,0.207,-0.045,0.154,-0.422,0.066,"control - WT, 2% Glu","WT, 0.5% Glu"
Comp0636,Exp0321,Paper192,Lamming,2005,SCIENCE,309,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,1,BY4742,N,1,D,CNM,0,0.818,53.8,46.2,0,0,,0.01,45,0.85,1.11,1.32,,0.57,0.69,0.69,,,77.4,22.6,0,0.01,45,0.011627907,0.656,10.21,15.85,32.75,-0.84,0.252,-1.037,0.135,-0.784,0.082,-1.455,0.292,-0.958,0.227,-1.062,0.085,"control - WT, 2% Glu","WT, 0.5% Glu"
Comp0025,Exp0007,Paper011,Bishop,2007,NATURE,477,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,1,WT_celegans,N,1,D,FC,1,0.034815,66.6,13.3,20.1,0,,1.5,832,22.27,25.39,28.07,0.68,0.02,0.68,0.68,,,66.6,13.3,20.1,1.5,74,0.063104754,0.666,22.4,37.74,67.9,-0.105,0.059,-0.25,0.03,-0.095,0.02,-0.421,0.059,-0.031,0.048,-0.175,0.018,control - 2.5x10^8 cfu/ml,1.7x10^8 cfu/ml
Comp0026,Exp0007,Paper011,Bishop,2007,NATURE,477,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,1,WT_celegans,N,1,D,FC,1,0.034815,66.6,13.3,20.1,0,,1.5,832,22.27,25.39,28.07,0.1,0,0.1,0.1,,,66.6,13.3,20.1,1.5,792,0.063104754,0.666,3,8.82,18.17,-1.542,0.017,-1.376,0.008,-1.202,0.005,-1.498,0.016,-1.604,0.015,-1.549,0.005,control - 2.5x10^8 cfu/ml,2.5x10^7 cfu/ml
